Month,Date,Time,Unit.code,ID.code,Sex,Diet.Item,Season
February,2/19/2015,9:26:23 AM,8,17,male,graminoid.underground,dry
February,2/19/2015,9:35:26 AM,8,29,female,graminoid.underground,dry
February,2/19/2015,9:35:44 AM,8,46,female,graminoid.underground,dry
February,2/19/2015,9:35:55 AM,8,24,male,graminoid.underground,dry
February,2/19/2015,9:36:19 AM,8,17,male,graminoid.underground,dry
February,2/19/2015,9:45:18 AM,8,29,female,graminoid.underground,dry
February,2/19/2015,9:45:38 AM,8,46,female,graminoid.underground,dry
February,2/19/2015,9:46:01 AM,8,24,male,graminoid.underground,dry
February,2/19/2015,9:55:38 AM,8,29,female,graminoid.underground,dry
February,2/19/2015,9:55:49 AM,8,46,female,graminoid.underground,dry
February,2/19/2015,9:56:05 AM,8,24,male,graminoid.underground,dry
February,2/19/2015,9:56:19 AM,8,17,male,graminoid.underground,dry
February,2/19/2015,10:05:42 AM,8,29,female,graminoid.underground,dry
February,2/19/2015,10:06:17 AM,8,24,male,graminoid.underground,dry
February,2/19/2015,10:17:59 AM,3,1,female,graminoid.underground,dry
February,2/19/2015,10:27:54 AM,3,45,female,graminoid.underground,dry
February,2/19/2015,10:37:55 AM,3,45,female,unidentified.underground,dry
February,2/19/2015,10:48:08 AM,3,45,female,unidentified.underground,dry
February,2/19/2015,11:12:13 AM,4,15,female,forb.leaves,dry
February,2/19/2015,11:12:37 AM,4,50,female,graminoid.underground,dry
February,2/19/2015,11:13:14 AM,4,12,female,forb.leaves,dry
February,2/19/2015,11:22:12 AM,4,13,male,graminoid.underground,dry
February,2/19/2015,11:23:31 AM,4,50,female,unidentified.underground,dry
February,2/19/2015,11:31:58 AM,4,13,male,unidentified.underground,dry
February,2/19/2015,11:42:04 AM,4,15,female,unidentified.underground,dry
February,2/19/2015,11:42:24 AM,4,13,male,graminoid.leaves,dry
February,2/19/2015,11:42:43 AM,4,12,female,graminoid.leaves,dry
February,2/19/2015,11:43:15 AM,4,50,female,other,dry
February,2/19/2015,11:52:09 AM,4,50,female,graminoid.leaves,dry
February,2/19/2015,11:52:32 AM,4,13,male,graminoid.leaves,dry
February,2/19/2015,11:53:01 AM,4,12,female,flower,dry
February,2/20/2015,9:08:29 AM,6,28,male,forb.leaves,dry
February,2/20/2015,9:08:57 AM,6,32,female,unidentified.underground,dry
February,2/20/2015,9:09:27 AM,6,44,female,forb.leaves,dry
February,2/20/2015,9:10:05 AM,6,25,female,unidentified.underground,dry
February,2/20/2015,9:16:33 AM,6,44,female,forb.leaves,dry
February,2/20/2015,9:16:55 AM,6,28,male,graminoid.leaves,dry
February,2/20/2015,9:17:19 AM,6,32,female,unidentified.underground,dry
February,2/20/2015,9:27:24 AM,6,32,female,unidentified.underground,dry
February,2/20/2015,9:27:41 AM,6,25,female,unidentified.underground,dry
February,2/20/2015,9:28:06 AM,6,44,female,unidentified.underground,dry
February,2/20/2015,9:28:25 AM,6,28,male,unidentified.underground,dry
February,2/20/2015,9:36:58 AM,6,49,female,graminoid.underground,dry
February,2/20/2015,9:37:27 AM,6,33,female,graminoid.underground,dry
February,2/20/2015,9:37:58 AM,6,25,female,unidentified.underground,dry
February,2/20/2015,9:38:40 AM,6,44,female,graminoid.underground,dry
February,2/20/2015,9:39:09 AM,6,28,male,unidentified.underground,dry
February,2/20/2015,9:46:56 AM,6,33,female,graminoid.underground,dry
February,2/20/2015,9:47:35 AM,6,44,female,unidentified.underground,dry
February,2/20/2015,9:47:54 AM,6,28,male,unidentified.underground,dry
February,2/20/2015,9:48:06 AM,6,25,female,unidentified.underground,dry
February,2/20/2015,9:48:38 AM,6,34,female,graminoid.underground,dry
February,2/20/2015,9:56:28 AM,6,44,female,graminoid.leaves,dry
February,2/20/2015,9:56:50 AM,6,28,male,unidentified.underground,dry
February,2/20/2015,9:57:04 AM,6,49,female,unidentified.underground,dry
February,2/20/2015,9:58:01 AM,6,33,female,graminoid.underground,dry
February,2/20/2015,9:58:24 AM,6,34,female,graminoid.underground,dry
February,2/20/2015,10:07:40 AM,6,44,female,graminoid.underground,dry
February,2/20/2015,10:07:55 AM,6,32,female,graminoid.underground,dry
February,2/20/2015,10:08:14 AM,6,28,male,unidentified.underground,dry
February,2/20/2015,10:08:26 AM,6,25,female,graminoid.underground,dry
February,2/20/2015,10:16:27 AM,6,25,female,unidentified.underground,dry
February,2/20/2015,10:16:45 AM,6,40,female,unidentified.underground,dry
February,2/20/2015,10:17:04 AM,6,28,male,unidentified.underground,dry
February,2/20/2015,10:26:29 AM,6,44,female,graminoid.leaves,dry
February,2/20/2015,10:26:51 AM,6,32,female,graminoid.leaves,dry
February,2/20/2015,10:27:21 AM,6,33,female,graminoid.leaves,dry
February,2/20/2015,10:27:35 AM,6,49,female,graminoid.leaves,dry
February,2/20/2015,10:28:42 AM,6,28,male,graminoid.leaves,dry
February,2/20/2015,10:36:55 AM,6,49,female,graminoid.leaves,dry
February,2/20/2015,10:37:07 AM,6,28,male,graminoid.leaves,dry
February,2/20/2015,10:37:41 AM,6,44,female,graminoid.leaves,dry
February,2/20/2015,10:38:15 AM,6,40,female,graminoid.leaves,dry
February,2/20/2015,10:48:50 AM,2,43,female,graminoid.leaves,dry
February,2/20/2015,10:49:28 AM,2,26,female,graminoid.leaves,dry
February,2/20/2015,10:59:50 AM,2,37,female,unidentified.underground,dry
February,2/20/2015,11:00:39 AM,2,26,female,unidentified.underground,dry
February,2/20/2015,11:00:59 AM,2,43,female,unidentified.underground,dry
February,2/20/2015,11:14:23 AM,2,21,female,graminoid.leaves,dry
February,2/20/2015,11:14:39 AM,2,53,female,graminoid.leaves,dry
February,2/20/2015,11:24:06 AM,2,26,female,crop,dry
February,2/20/2015,11:24:19 AM,2,48,female,crop,dry
February,2/20/2015,11:34:27 AM,2,26,female,crop,dry
February,2/20/2015,11:34:55 AM,2,36,male,crop,dry
February,2/20/2015,11:43:52 AM,2,37,female,unidentified.underground,dry
February,2/20/2015,11:53:31 AM,2,21,female,graminoid.leaves,dry
February,2/20/2015,11:53:48 AM,2,43,female,graminoid.leaves,dry
February,2/20/2015,11:54:16 AM,2,26,female,graminoid.leaves,dry
February,2/20/2015,11:54:27 AM,2,36,male,graminoid.leaves,dry
February,2/20/2015,11:54:42 AM,2,48,female,graminoid.leaves,dry
February,2/20/2015,11:55:05 AM,2,37,female,graminoid.leaves,dry
February,2/20/2015,11:55:20 AM,2,23,female,graminoid.leaves,dry
February,2/20/2015,11:55:35 AM,2,53,female,graminoid.leaves,dry
February,2/20/2015,12:03:29 PM,2,23,female,graminoid.leaves,dry
February,2/20/2015,12:03:46 PM,2,36,male,graminoid.leaves,dry
February,2/20/2015,12:04:20 PM,2,26,female,graminoid.leaves,dry
February,2/20/2015,12:04:33 PM,2,48,female,graminoid.leaves,dry
February,2/20/2015,12:04:45 PM,2,43,female,graminoid.leaves,dry
February,2/20/2015,12:04:58 PM,2,21,female,graminoid.leaves,dry
February,2/20/2015,4:40:40 PM,8,29,female,graminoid.leaves,dry
February,2/20/2015,4:50:48 PM,8,46,female,graminoid.leaves,dry
February,2/20/2015,5:01:04 PM,8,29,female,graminoid.leaves,dry
February,2/20/2015,5:01:19 PM,8,46,female,graminoid.leaves,dry
February,2/20/2015,5:20:52 PM,8,46,female,graminoid.leaves,dry
February,2/20/2015,5:28:56 PM,2,26,female,graminoid.leaves,dry
February,2/20/2015,5:29:58 PM,2,43,female,unidentified.underground,dry
February,2/20/2015,5:30:51 PM,2,48,female,graminoid.leaves,dry
February,2/20/2015,5:38:03 PM,2,26,female,graminoid.leaves,dry
February,2/20/2015,5:38:25 PM,2,43,female,graminoid.leaves,dry
February,2/20/2015,5:38:53 PM,2,23,female,graminoid.leaves,dry
February,2/20/2015,5:39:07 PM,2,37,female,graminoid.leaves,dry
February,2/20/2015,5:39:25 PM,2,53,female,graminoid.leaves,dry
February,2/21/2015,8:46:35 AM,2,37,female,graminoid.leaves,dry
February,2/21/2015,8:46:57 AM,2,43,female,graminoid.leaves,dry
February,2/21/2015,8:47:16 AM,2,21,female,graminoid.leaves,dry
February,2/21/2015,8:47:36 AM,2,36,male,forb.leaves,dry
February,2/21/2015,8:56:49 AM,2,36,male,unidentified.underground,dry
February,2/21/2015,8:57:00 AM,2,23,female,unidentified.underground,dry
February,2/21/2015,8:57:17 AM,2,37,female,graminoid.underground,dry
February,2/21/2015,9:06:06 AM,2,26,female,forb.leaves,dry
February,2/21/2015,9:16:55 AM,4,15,female,graminoid.leaves,dry
February,2/21/2015,9:17:02 AM,4,50,female,graminoid.leaves,dry
February,2/21/2015,9:46:36 AM,4,12,female,graminoid.leaves,dry
February,2/21/2015,9:46:49 AM,4,50,female,graminoid.leaves,dry
February,2/21/2015,9:47:06 AM,4,13,male,graminoid.leaves,dry
February,2/21/2015,9:56:41 AM,4,12,female,unidentified.underground,dry
February,2/21/2015,9:57:01 AM,4,50,female,unidentified.underground,dry
February,2/21/2015,9:57:18 AM,4,13,male,unidentified.underground,dry
February,2/21/2015,10:06:55 AM,4,15,female,unidentified.underground,dry
February,2/21/2015,10:07:05 AM,4,12,female,unidentified.underground,dry
February,2/21/2015,10:07:40 AM,4,50,female,unidentified.underground,dry
February,2/21/2015,10:16:56 AM,4,15,female,unidentified.underground,dry
February,2/21/2015,10:26:45 AM,4,13,male,fruits,dry
February,2/21/2015,10:27:03 AM,4,15,female,fruits,dry
February,2/21/2015,10:47:05 AM,4,13,male,forb.leaves,dry
February,2/21/2015,10:47:17 AM,4,12,female,unidentified.underground,dry
February,2/21/2015,10:47:39 AM,4,15,female,graminoid.leaves,dry
February,2/21/2015,10:56:41 AM,4,12,female,graminoid.leaves,dry
February,2/21/2015,10:56:49 AM,4,50,female,graminoid.leaves,dry
February,2/21/2015,10:56:59 AM,4,15,female,graminoid.leaves,dry
February,2/21/2015,10:57:11 AM,4,13,male,graminoid.leaves,dry
February,2/21/2015,11:10:32 AM,3,45,female,graminoid.leaves,dry
February,2/21/2015,11:10:47 AM,3,1,female,graminoid.leaves,dry
February,2/21/2015,11:10:57 AM,3,5,male,graminoid.leaves,dry
February,2/21/2015,11:19:41 AM,3,45,female,graminoid.leaves,dry
February,2/21/2015,11:20:13 AM,3,1,female,graminoid.leaves,dry
February,2/21/2015,11:20:26 AM,3,5,male,graminoid.leaves,dry
February,2/21/2015,11:30:13 AM,3,45,female,unidentified.underground,dry
February,2/21/2015,11:50:26 AM,3,5,male,graminoid.leaves,dry
February,2/21/2015,12:00:39 PM,3,1,female,graminoid.leaves,dry
February,2/21/2015,12:10:35 PM,3,1,female,graminoid.leaves,dry
February,2/21/2015,12:19:45 PM,3,45,female,graminoid.leaves,dry
February,2/21/2015,12:20:09 PM,3,1,female,graminoid.leaves,dry
February,2/21/2015,12:20:22 PM,3,5,male,graminoid.leaves,dry
February,2/21/2015,12:29:57 PM,3,45,female,graminoid.leaves,dry
